,date_of_service,toc_code,rid,location,gbtt_ptd,gbtt_pta,actual_td,actual_ta,late_canc_reason,arrivalDelay,departureDelay,previousJourney,nextJourney,previousArrivalDelay,previousDepartureDelay,nextArrivalDelay,nextDepartureDelay,previousStation,nextStation,numberOfStops
0,2017-08-01,LE,201708017101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,0.0,60.0,,DIS,8
1,2017-08-01,LE,201708017101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:19:00,0 days 05:17:00,0.0,0.0,60.0,1020.0,660.0,,0.0,60.0,60.0,NRW,SMK,8
2,2017-08-01,LE,201708017101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:30:00,0.0,60.0,60.0,660.0,720.0,0.0,60.0,-60.0,-60.0,DIS,IPS,8
3,2017-08-01,LE,201708017101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:41:00,0.0,-60.0,-60.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,8
4,2017-08-01,LE,201708017101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:53:00,0.0,0.0,60.0,540.0,540.0,-60.0,-60.0,-60.0,-60.0,IPS,COL,8
5,2017-08-01,LE,201708017101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:02:00,0.0,-60.0,-60.0,540.0,2340.0,0.0,60.0,-60.0,,MNG,SRA,8
6,2017-08-01,LE,201708017101237,SRA,,0 days 06:44:00,,0 days 06:43:00,0.0,-60.0,,2340.0,,-60.0,-60.0,60.0,,COL,LST,8
7,2017-08-01,LE,201708017101237,LST,,0 days 06:54:00,,0 days 06:55:00,0.0,60.0,,,,-60.0,,,,SRA,,8
0,2017-08-02,LE,201708027101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-08-02,LE,201708027101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,0.0,0.0,NRW,SMK,8
2,2017-08-02,LE,201708027101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:30:00,0 days 05:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-120.0,-60.0,DIS,IPS,8
3,2017-08-02,LE,201708027101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,-60.0,60.0,SMK,MNG,8
4,2017-08-02,LE,201708027101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:52:00,0.0,-60.0,60.0,540.0,540.0,-120.0,-60.0,-60.0,-60.0,IPS,COL,8
5,2017-08-02,LE,201708027101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:02:00,0.0,-60.0,-60.0,540.0,2340.0,-60.0,60.0,-120.0,,MNG,SRA,8
6,2017-08-02,LE,201708027101237,SRA,,0 days 06:44:00,,0 days 06:42:00,0.0,-120.0,,2340.0,,-60.0,-60.0,0.0,,COL,LST,8
7,2017-08-02,LE,201708027101237,LST,,0 days 06:54:00,,0 days 06:54:00,0.0,0.0,,,,-120.0,,,,SRA,,8
0,2017-08-03,LE,201708037101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-08-03,LE,201708037101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,0.0,0.0,NRW,SMK,8
2,2017-08-03,LE,201708037101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:30:00,0 days 05:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-120.0,-60.0,DIS,IPS,8
3,2017-08-03,LE,201708037101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,-60.0,0.0,SMK,MNG,8
4,2017-08-03,LE,201708037101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:54:00,0 days 05:52:00,0.0,-60.0,0.0,540.0,540.0,-120.0,-60.0,-60.0,-60.0,IPS,COL,8
5,2017-08-03,LE,201708037101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:02:00,0.0,-60.0,-60.0,540.0,2340.0,-60.0,0.0,0.0,,MNG,SRA,8
6,2017-08-03,LE,201708037101237,SRA,,0 days 06:44:00,,0 days 06:44:00,0.0,0.0,,2340.0,,-60.0,-60.0,120.0,,COL,LST,8
7,2017-08-03,LE,201708037101237,LST,,0 days 06:54:00,,0 days 06:56:00,0.0,120.0,,,,0.0,,,,SRA,,8
0,2017-08-04,LE,201708047101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-08-04,LE,201708047101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,0.0,60.0,NRW,SMK,8
2,2017-08-04,LE,201708047101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:29:00,0.0,0.0,60.0,660.0,720.0,-60.0,0.0,0.0,0.0,DIS,IPS,8
3,2017-08-04,LE,201708047101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:44:00,0 days 05:42:00,0.0,0.0,0.0,720.0,540.0,0.0,60.0,0.0,60.0,SMK,MNG,8
4,2017-08-04,LE,201708047101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:53:00,0.0,0.0,60.0,540.0,540.0,0.0,0.0,-60.0,-60.0,IPS,COL,8
5,2017-08-04,LE,201708047101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:02:00,0.0,-60.0,-60.0,540.0,2340.0,0.0,60.0,-60.0,,MNG,SRA,8
6,2017-08-04,LE,201708047101237,SRA,,0 days 06:44:00,,0 days 06:43:00,0.0,-60.0,,2340.0,,-60.0,-60.0,120.0,,COL,LST,8
7,2017-08-04,LE,201708047101237,LST,,0 days 06:54:00,,0 days 06:56:00,0.0,120.0,,,,-60.0,,,,SRA,,8
0,2017-08-07,LE,201708077101237,NRW,0 days 05:00:00,,0 days 04:59:00,,0.0,,-60.0,,1020.0,,,-120.0,-60.0,,DIS,8
1,2017-08-07,LE,201708077101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:17:00,0 days 05:15:00,0.0,-120.0,-60.0,1020.0,660.0,,-60.0,-60.0,0.0,NRW,SMK,8
2,2017-08-07,LE,201708077101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:30:00,0 days 05:28:00,0.0,-60.0,0.0,660.0,720.0,-120.0,-60.0,-120.0,-120.0,DIS,IPS,8
3,2017-08-07,LE,201708077101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:42:00,0 days 05:40:00,0.0,-120.0,-120.0,720.0,540.0,-60.0,0.0,-120.0,0.0,SMK,MNG,8
4,2017-08-07,LE,201708077101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:54:00,0 days 05:51:00,0.0,-120.0,0.0,540.0,540.0,-120.0,-120.0,-120.0,-60.0,IPS,COL,8
5,2017-08-07,LE,201708077101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:01:00,0.0,-120.0,-60.0,540.0,2340.0,-120.0,0.0,-120.0,,MNG,SRA,8
